number	category	brand	gender	ΥΛΙΚΟ	ΧΡΩΜΑ	ΔΙΑΣΤΑΣΕΙΣ	ΣΥΣΚΕΥΑΣΙΑ ΔΩΡΟΥ	info gr	info en	warranty	price	discount	stock	hidden	img count
CL09S-Blue	ACCESSORIES>CUFFLINKS	Jos Von Arx	mens	Solid Brass with PVD plating	blue		yes			1 year	24		0		2
CL38S	ACCESSORIES>CUFFLINKS	Jos Von Arx	mens	Solid Brass with PVD plating			yes			1 year	29		1		2
CL94S	ACCESSORIES>CUFFLINKS	Jos Von Arx	mens	Solid Brass with PVD plating			yes			1 year	24		1		2
CL107S	ACCESSORIES>CUFFLINKS	Jos Von Arx	mens	Solid Brass with PVD plating			yes			1 year	24		1		2
CL111S	ACCESSORIES>CUFFLINKS	Jos Von Arx	mens	Solid Brass with PVD plating			yes			1 year	24		1		2
IL09	ACCESSORIES>LEATHER CARD HOLDERS	Jos Von Arx	mens	genuine italian bovine leather	black	105Χ73mm	yes			1 year	44		1		1
IL12	ACCESSORIES>LEATHER CARD HOLDERS	Jos Von Arx	mens	genuine italian bovine leather	gray	105Χ73mm	yes			1 year	44		1		1
IL31	ACCESSORIES>LEATHER CARD HOLDERS	Jos Von Arx	mens	genuine italian bovine leather	brown	105Χ73mm	yes			1 year	44		2		1
IL01	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	mens	genuine italian leather	black	115Χ93mm	yes			1 year	59		1		1
IL23	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	mens	genuine italian leather, stainless steel	black	95Χ70mm	yes	Συμπεριλαμβάνεται χρηματοπιάστρα.	Money clip included.	1 year	44		1		1
IL35	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	mens	genuine italian leather, stainless steel	dark brown	95Χ70mm	yes	Συμπεριλαμβάνεται χρηματοπιάστρα.	Money clip included.	1 year	44		1		1
IL79	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	mens	genuine italian bovine leather	dark brown	100Χ80mm	yes	Τύπου "slip card wallet".	This is a slim card wallet.	1 year	39		1		1
COB02	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	49		1		2
INB04	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	khaki		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	64		1		2
INB06	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	dark brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	64		1		2
INB09	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	blue		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	64		1		2
INB22	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	blue		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	74		1		2
INB24	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	74		2		2
FUB01	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	54		2		2
FUB02	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	54		1		2
FUB03	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	74		1		2
FUB41	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel pvd black	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	69		2		2
FUB42	JEWELLERY>MENS>BRACELETS	Jos Von Arx	mens	leather, stainless steel	dark brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	69		1		2
